{'text': 'the LEF/TCF family One of the target genes for beta catenin/TCF encodes c MYC explaining why constitutive activation of the WNT pathway can lead to cancer particularly in the colon Most colon cancers arise from mutations in the gene encoding [E1] adenomatous polyposis coli [\\E1] APC a protein required for ubiquitin mediated degradation of beta catenin but a small percentage of colon and some other cancers harbour beta catenin stabilizing mutations Recently we discovered that transgenic mice expressing an activated beta catenin are predisposed', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'D008949', 'C090876', 'C563250', 'D025601', 'C031511', 'D018262', 'D000238', 'C000671802', 'C407009', 'C062351', 'C111578', 'C061075', 'C000613192', 'C000645531', 'D017188', 'C048567', 'C000623798', 'C000699842', 'D018196', 'D000236', 'D017157', 'C017991', 'C538110', 'C526457', 'C018446', 'C538265', 'C055772', 'C017990', 'C011626', 'C022571', 'C018444', 'C027800', 'C000699812', 'C022570', 'C030812', 'C015651', 'C542391', 'C524259', 'C018775', 'D000235', 'C000691299', 'D044483', 'C000647324', 'C503443', 'C049300', 'C026520', 'C520193', 'C406809', 'C000662092', 'C000662061', 'D000261', 'D062788', 'C000640097', 'C538232', 'C000662013', 'C000647651', 'D018194', 'C000661085', 'C044618']}}
{'text': 'Serum amyloid A and P protein genes in familial Mediterranean fever Two recent studies have suggested the involvement of serum amyloid A SAA and P APCS genes in [E1] familial Mediterranean fever [\\E1] MEF To test the role of SAA and APCS in MEF and MEF amyloidosis we studied 17 informative families 15 Armenians 2 non Ashkenazi Jews and 8 MEF patients with amyloidosis using a candidate gene approach No evidence for', 'mention_data': {'kb_id': 'D010505', 'candidates': ['D010505', 'C536657', 'C538489', 'C536846', 'C536611', 'C000591739', 'C536228', 'C580087', 'C536961', 'C536004', 'C536231', 'C536847', 'C531622', 'C567176', 'C535648', 'C566262', 'C580075', 'C536848', 'C000649143', 'C565569', 'C565025', 'C531673', 'C538544', 'C531598', 'C564336', 'C538249', 'C564136', 'D000071070', 'C536845', 'C538572', 'C536388', 'C564638', 'C536911', 'C000652649', 'C565024', 'C531624', 'D053098', 'C000625833', 'C538553', 'C566172', 'C565312', 'C536852', 'D065627', 'C000645266', 'C537180', 'C000649177', 'C564416', 'C566117', 'C565577', 'C000649163', 'D028226', 'C537963', 'C562768', 'C538493', 'D056660', 'D054066', 'C565789', 'D001907', 'D014608', 'C538514', 'C565022', 'C536851', 'C531642', 'C563467']}}
{'text': 'A SAA and P APCS genes in familial Mediterranean fever MEF To test the role of SAA and APCS in MEF and MEF amyloidosis we studied 17 informative families 15 Armenians 2 non Ashkenazi Jews and 8 MEF patients with [E1] amyloidosis [\\E1] using a candidate gene approach No evidence for any MEF associated polymorphism was found in any of the 41 Armenian and Jewish MEF patients tested Our family studies allowed us to rule out tight linkage between SAA and MEF', 'mention_data': {'kb_id': 'D000686', 'candidates': ['D000686', 'C567782', 'C562644', 'C562642', 'C535800', 'C538249', 'C538248', 'D028226', 'D000682', 'C537944', 'C562643', 'C000718787', 'D000741', 'D000690', 'C563895', 'C000153', 'C565956', 'D058225', 'C566290', 'C565958', 'C567160', 'C046748', 'C000661204', 'C538253', 'C000699930', 'D000075363', 'D029502', 'C567499', 'C084359', 'C564429', 'C564300', 'C058570', 'D012598', 'D028227', 'C567244', 'C538251', 'D009103', 'D016657', 'C103598', 'C565955', 'C419470', 'C565469', 'C410220', 'C000612873', 'C565953', 'C000605559', 'D000708', 'C000607344', 'C000604160', 'C482782', 'C419469', 'C115195', 'C517203', 'D000688', 'C567144', 'C000605560', 'C536356', 'C086839', 'D057885', 'D004535', 'C000600713', 'C536193', 'D000138', 'C433241']}}
{'text': 'linkage between SAA and MEF lod score 2 16 theta less than or equal to 0 06 For APCS we found that the allele frequency in the MEF amyloidosis patients was similar to that in 18 unrelated MEF patients without [E1] amyloidosis [\\E1] and their 33 healthy parents', 'mention_data': {'kb_id': 'D000686', 'candidates': ['D000686', 'C567782', 'C562642', 'C562644', 'C538249', 'C535800', 'D000682', 'C538248', 'D028226', 'C537944', 'C562643', 'C000718787', 'D000741', 'D000690', 'C563895', 'C000153', 'D058225', 'C566290', 'C565956', 'C046748', 'C565958', 'C000661204', 'C103598', 'D000075363', 'C084359', 'C058570', 'C567160', 'D000782', 'C000699930', 'C419470', 'C000612873', 'C538253', 'C000607344', 'C000604160', 'C410220', 'C517203', 'C419469', 'D028227', 'C086839', 'D029502', 'C567499', 'C000605559', 'C433241', 'C000605560', 'C582766', 'C419409', 'C538251', 'D000688', 'C565955', 'C482782', 'C000621368', 'C531615', 'C000600713', 'C000618847', 'C092395', 'C529399', 'C115195', 'C407125', 'C493515', 'C504790', 'C114962', 'D057885', 'C564300', 'C081625']}}
{'text': 'Loss of normal allele of the APC gene in an [E1] adrenocortical carcinoma [\\E1] from a patient with familial adenomatous polyposis Endocrine neoplasms have been reported occasionally in patients with familial adenomatous polyposis FAP An adrenocorotical carcinoma was studied in a patient with a family history of FAP Loss of heterozygosity LOH in', 'mention_data': {'kb_id': 'D018268', 'candidates': ['D018268', 'D000310', 'C565973', 'C565972', 'C000632664', 'D000306', 'C535662', 'D000077216', 'D018286', 'D002277', 'C538237', 'C535978', 'D006528', 'C000038', 'C535658', 'D018246', 'C535979', 'D018196', 'D055756', 'D003528', 'C538015', 'D018287', 'C535837', 'C537742', 'D018279', 'D009101', 'D058922', 'C538236', 'D018275', 'C536481', 'D003536', 'D012208', 'D004379', 'D015179', 'D004407', 'D018223', 'D002296', 'C538238', 'C563020', 'D000099067', 'D002282', 'D012207', 'D001943', 'D012878', 'D018236', 'D019572', 'D000794', 'D001984', 'C566323', 'D018267', 'D018220', 'D000312', 'C564773', 'D002283', 'D010051', 'D000072656', 'C563456', 'C536851', 'D044584', 'D002281', 'C535657', 'C537535', 'D004476', 'D002280']}}
{'text': 'familial adenomatous polyposis Endocrine neoplasms have been reported occasionally in patients with familial adenomatous polyposis FAP An adrenocorotical carcinoma was studied in a patient with a family history of FAP Loss of heterozygosity LOH in the region close to the [E1] adenomatous polyposis coli [\\E1] APC gene was detected in this carcinoma and evidence was obtained that there was a loss of the normal allele of the APC gene This is the first demonstration of LOH at the APC locus in adrenocortical tumors The', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'C090876', 'C563250', 'D008949', 'D025601', 'C031511', 'C061075', 'C062351', 'D018262', 'C407009', 'C048567', 'C017991', 'C000671802', 'C000613192', 'C018446', 'C011626', 'C049300', 'C000645531', 'C018775', 'C022571', 'C079777', 'C524259', 'C055772', 'C018444', 'C520193', 'C017990', 'D000238', 'C026520', 'C030812', 'C538110', 'D017188', 'C010671', 'C027800', 'C022570', 'C045650', 'C016964', 'C526457', 'C010840', 'C538229', 'C406809', 'C044618', 'C538265', 'C511914', 'C111578', 'C015651', 'C000623798', 'C000691299', 'C566310', 'C000640096', 'D018196', 'C401161', 'D000236', 'C018808', 'C018445', 'C049518', 'C019606', 'C456561', 'C000647651', 'C566775', 'C000699842']}}
{'text': 'in patients with familial adenomatous polyposis FAP An adrenocorotical carcinoma was studied in a patient with a family history of FAP Loss of heterozygosity LOH in the region close to the adenomatous polyposis coli APC gene was detected in this [E1] carcinoma [\\E1] and evidence was obtained that there was a loss of the normal allele of the APC gene This is the first demonstration of LOH at the APC locus in adrenocortical tumors The present results and our previous data on', 'mention_data': {'kb_id': 'D002277', 'candidates': ['D002277', 'D003528', 'D018288', 'D002280', 'D018286', 'D002276', 'D002294', 'D006528', 'D018279', 'D018275', 'D018196', 'D000077216', 'D018287', 'D018277', 'D018278', 'D021441', 'D063646', 'D015266', 'D002273', 'D017169', 'D012878', 'D002114', 'D015179', 'D008545', 'D018267', 'D018365', 'D002281', 'D002283', 'D002289', 'D044584', 'D009381', 'C562842', 'D002822', 'D005910', 'D018273', 'D018236', 'D010190', 'D002296', 'D009378', 'D018280', 'D018276', 'D008048', 'D005350', 'D012468', 'D001984', 'D014523', 'D002292', 'D002295', 'D000236', 'D009369', 'D018299', 'D019572', 'D003230', 'D011471', 'D004379', 'D002284', 'D018219', 'D010051', 'D018265', 'D000310', 'D018289', 'D013736', 'D004701', 'D031954']}}
{'text': 'Heterozygous C2 deficiency and [E1] myasthenia gravis [\\E1] Complement deficiency states in myasthenia gravis MG have not been reported previously We describe a 19 year old woman with typical MG and heterozygous C2 deficiency along with HLA typing of the patient and her immediate family', 'mention_data': {'kb_id': 'D009157', 'candidates': ['D009157', 'D020941', 'C564628', 'C051931', 'D020720', 'C536090', 'C564979', 'C565830', 'C563831', 'C563552', 'C535759', 'C563830', 'D015624', 'C563832', 'C536089', 'C563829', 'C000641268', 'C079566', 'C536091', 'C412466', 'C000634631', 'C000641269', 'C549330', 'C000642345', 'C537291', 'C510009', 'C000634641', 'D009224', 'C565289', 'D009221', 'C000653029', 'C563221', 'D055622', 'C566434', 'C000641992', 'C046447', 'C564017', 'C433910', 'C450432', 'C000649837', 'C537301', 'C000634626', 'C000591191', 'D009169', 'C000696824', 'C000634645', 'C000647172', 'C000648196', 'C000634644', 'D007947', 'C566343', 'C537799', 'C435214', 'D008457', 'C000641264', 'C000634624', 'C096743', 'C000634628', 'C114795', 'C000696870', 'C000696892', 'C000680218', 'C000699445', 'C058749']}}
{'text': 'Heterozygous C2 deficiency and myasthenia gravis Complement deficiency states in [E1] myasthenia gravis [\\E1] MG have not been reported previously We describe a 19 year old woman with typical MG and heterozygous C2 deficiency along with HLA typing of the patient and her immediate family', 'mention_data': {'kb_id': 'D009157', 'candidates': ['D009157', 'D020941', 'C564628', 'C051931', 'C536090', 'D020720', 'C564979', 'C565830', 'C563831', 'C563830', 'D015624', 'C563552', 'C563832', 'C563829', 'C535759', 'C536089', 'C537291', 'C536091', 'C000641268', 'C563221', 'D009224', 'C566434', 'D009221', 'C000642345', 'C079566', 'D055622', 'C549330', 'C000641269', 'C510009', 'D007947', 'C000653029', 'C565289', 'C000634641', 'C000634631', 'D015477', 'C000647172', 'D018224', 'C412466', 'C537301', 'D015464', 'D009220', 'D020914', 'C536096', 'D008457', 'C046447', 'C566343', 'D018979', 'D054429', 'D047708', 'C565532', 'D009205', 'C000699445', 'D063806', 'D009206', 'C564017', 'D010003', 'C000648584', 'C537799', 'C000649837', 'C579880', 'C000645261', 'C580316', 'C450432', 'D015470']}}
{'text': 'Recombinations in individuals homozygous by descent localize the [E1] Friedreich ataxia [\\E1] locus in a cloned 450 kb interval The locus for Friedreich ataxia FRDA a severe neurodegenerative disease is tightly linked to markers D9S5 and D9S15 and analysis of rare recombination events has suggested the order cen FRDA D9S5 D9S15', 'mention_data': {'kb_id': 'D005621', 'candidates': ['D005621', 'C564999', 'C538061', 'C564657', 'D001259', 'C565933', 'D020754', 'C564105', 'C537197', 'C564020', 'C565932', 'C564802', 'C563818', 'C531684', 'C566247', 'C537396', 'C564395', 'C536407', 'C580065', 'C537313', 'C567436', 'C565188', 'D002524', 'C565930', 'C567478', 'C535523', 'C535350', 'C537308', 'C564698', 'C563134', 'C567459', 'C535995', 'C566993', 'C563753', 'C565850', 'C537583', 'C536181', 'C566594', 'C563278', 'D001260', 'C537316', 'C567844', 'C566865', 'C535633', 'C537310', 'C535672', 'C565779', 'C567207', 'C564446', 'C535506', 'C566669', 'C537311', 'C535393', 'C537312', 'C566601', 'D020211', 'C566956', 'C538018', 'C567425', 'C565604', 'C564010', 'C565865', 'C537196', 'C537309']}}
{'text': 'Recombinations in individuals homozygous by descent localize the Friedreich ataxia locus in a cloned 450 kb interval The locus for [E1] Friedreich ataxia [\\E1] FRDA a severe neurodegenerative disease is tightly linked to markers D9S5 and D9S15 and analysis of rare recombination events has suggested the order cen FRDA D9S5 D9S15 qter We report here the construction of a YAC contig extending 800', 'mention_data': {'kb_id': 'D005621', 'candidates': ['D005621', 'C564999', 'C538061', 'D001259', 'C564657', 'C565933', 'C565932', 'C566247', 'D020754', 'C564105', 'C564802', 'C564020', 'C531684', 'D002524', 'C537197', 'C564395', 'C537396', 'C537313', 'C580065', 'C563818', 'C535523', 'C536407', 'C565188', 'C567478', 'C567436', 'C535350', 'C537308', 'C564698', 'C535995', 'C563134', 'C566669', 'D020211', 'C565930', 'C567459', 'C537583', 'C566993', 'C535633', 'C537316', 'C563753', 'C537310', 'C563278', 'C565850', 'C535672', 'C565864', 'C535393', 'C567844', 'C567425', 'C535506', 'C536181', 'D001260', 'C537311', 'C566956', 'C538018', 'C537196', 'C537312', 'C565865', 'C567207', 'C537309', 'C565779', 'C566969', 'C566601', 'C566865', 'C565869', 'C564894']}}
{'text': 'Further mapping of an [E1] ataxia telangiectasia [\\E1] locus to the chromosome 11q23 region We recently mapped the gene for ataxia telangiectasia group A ATA to chromosome 11q22 23 by linkage analysis using the genetic markers THY1 and pYNB3 12 D11S144 The most likely order was cent', 'mention_data': {'kb_id': 'D001260', 'candidates': ['D001260', 'C565930', 'C565779', 'C566865', 'C565691', 'C535497', 'D013683', 'D013684', 'D064007', 'C576887', 'C562908', 'C562998', 'C567478', 'C537316', 'C563134', 'C537396', 'C565933', 'C565188', 'C567436', 'C537315', 'C565772', 'C531684', 'C537310', 'C563086', 'C537307', 'C537424', 'C564395', 'C564802', 'C565790', 'C537311', 'C537196', 'C564105', 'C563753', 'C566874', 'C562856', 'C537314', 'C537308', 'C564685', 'C542540', 'C537309', 'C548027', 'C537195', 'C537200', 'C538061', 'C566246', 'D058456', 'C537201', 'C567577', 'C564616', 'C566080', 'C000715747', 'C537312', 'C563719', 'C536954', 'C579922', 'C537313', 'C535523', 'C537198', 'C537199', 'C536953', 'C536050', 'C536801', 'C564020', 'C566386']}}
{'text': 'Further mapping of an ataxia telangiectasia locus to the chromosome 11q23 region We recently mapped the gene for [E1] ataxia telangiectasia [\\E1] group A ATA to chromosome 11q22 23 by linkage analysis using the genetic markers THY1 and pYNB3 12 D11S144 The most likely order was cent AT S144 THY1 The present paper describes further mapping of the AT locus by', 'mention_data': {'kb_id': 'D001260', 'candidates': ['D001260', 'C565930', 'C565779', 'C535497', 'C565691', 'C566865', 'D013683', 'D013684', 'C576887', 'C565933', 'D064007', 'C562908', 'C531684', 'C567478', 'C537396', 'C564105', 'C537316', 'C563134', 'C563086', 'C537424', 'C562998', 'C564395', 'C536954', 'C565772', 'C567436', 'C565188', 'C562774', 'C566247', 'C535523', 'C564802', 'C566292', 'C548027', 'C563276', 'C537315', 'C566386', 'C535393', 'C565790', 'C537196', 'C562856', 'C566246', 'C537313', 'C564020', 'C537307', 'C536953', 'C000598941', 'C537310', 'C537314', 'C000715747', 'C566598', 'C542540', 'C566080', 'C566874', 'C535350', 'D058456', 'C537197', 'C536511', 'C564815', 'C536050', 'C564685', 'C537311', 'C535633', 'D001259', 'C537200', 'C536364']}}
{'text': 'diphosphate kinase has been found to correlate with diminished metastasis in some tumors but not in others We have previously identified the protein product of the nm23 H1 gene in two dimensional electrophoretic gels and have designated it p19/nm23 In [E1] neuroblastoma [\\E1] higher levels of p19/nm23 which are associated with amplification of the N myc oncogene large tumor mass and metastasis were observed in advanced stage tumors compared with limited stage disease Because of the variable expression of nm23 H1 in', 'mention_data': {'kb_id': 'D009447', 'candidates': ['D009447', 'D012175', 'D009455', 'D005909', 'D018319', 'D000564', 'D002804', 'D018197', 'D005350', 'D018325', 'C537162', 'D009463', 'D017253', 'C536399', 'D017169', 'D018317', 'D009381', 'D005347', 'D018306', 'D010190', 'D009442', 'D018278', 'D011471', 'C563523', 'D018318', 'D009464', 'D002280', 'D002277', 'D018220', 'D018214', 'D018365', 'D005910', 'D017599', 'D001984', 'D000090862', 'D001254', 'D010871', 'D010524', 'C071412', 'D013005', 'D020752', 'D018358', 'D013736', 'D064129', 'D018241', 'D018201', 'D001859', 'D018219', 'D018218', 'D018299', 'D055495', 'D005134', 'D019042', 'D015192', 'D018226', 'D012468', 'D009450', 'D018302', 'D008545', 'D013544', 'D010610', 'D018310', 'D009378', 'D054219']}}
{'text': 'Because of the variable expression of nm23 H1 in different tumors we have investigated the relationship between amounts of the protein and cell proliferation The levels of p19/nm23 were compared between resting and mitotically stimulated normal human PBLs and in [E1] leukemia [\\E1] cells The amount of p19/nm23 increased in normal lymphocytes in response to mitotic stimulation and paralleled the increase in DNA synthesis In leukemia cells obtained from patients with different subtypes of acute leukemia p19/nm23 levels were also increased relative', 'mention_data': {'kb_id': 'D007938', 'candidates': ['D007938', 'C565441', 'C566025', 'D007947', 'C564112', 'D015464', 'D015470', 'D004915', 'D015456', 'D054429', 'D015448', 'D007951', 'D015477', 'D054066', 'D007948', 'D015471', 'D007953', 'D007942', 'D054403', 'D007945', 'D015451', 'D015458', 'D015467', 'D054438', 'D015479', 'D015473', 'D015463', 'D015472', 'D015461', 'D007952', 'D007946', 'D007943', 'D009052', 'D007249', 'D016582', 'D015466', 'D000912', 'D014376', 'D010930', 'D019337', 'D054198', 'D015459', 'D004194', 'D000741', 'C565429', 'D001170', 'D016918', 'D007154', 'D012559', 'D016400', 'D000906', 'D011289', 'D006222', 'D015465', 'D015452', 'C536093', 'D001168', 'D000921', 'D005256', 'D018219', 'D000957', 'D001403', 'D009381', 'D054685']}}
{'text': 'proliferation The levels of p19/nm23 were compared between resting and mitotically stimulated normal human PBLs and in leukemia cells The amount of p19/nm23 increased in normal lymphocytes in response to mitotic stimulation and paralleled the increase in DNA synthesis In [E1] leukemia [\\E1] cells obtained from patients with different subtypes of acute leukemia p19/nm23 levels were also increased relative to resting normal lymphocytes Treatment of mitotically stimulated lymphocytes with cyclosporin which inhibits proliferation blocked the increase in p19/nm23 treatment of the leukemia', 'mention_data': {'kb_id': 'D007938', 'candidates': ['D007938', 'C565441', 'C566025', 'D007947', 'C564112', 'D015464', 'D015470', 'D015456', 'D054429', 'D004915', 'D007951', 'D054066', 'D015448', 'D007948', 'D015477', 'D015471', 'D007953', 'D007945', 'D007942', 'D054403', 'D015451', 'D015458', 'D015479', 'D054438', 'D015467', 'D015473', 'D015463', 'D015472', 'D015461', 'D007946', 'D007952', 'D007943', 'D009052', 'D015466', 'D016582', 'D007249', 'D054198', 'D000912', 'D015459', 'D010930', 'C565429', 'D014376', 'D019337', 'D015452', 'D015465', 'D011289', 'D000741', 'D005256', 'D012559', 'D006222', 'D001170', 'C536093', 'D000906', 'D016918', 'D016400', 'D017989', 'D004194', 'D007154', 'D001909', 'D018798', 'D000756', 'D001168', 'D000921', 'D000957']}}
